"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"103",1.03,0.3,0.219325976501063,0.212893810346874,-2.01707782612372e-17,0,0.267780213152063,0.0485333358054412,0.143226684126533,0.794
"104",1.04,0.3,0.217268461050809,0.210803551371287,-1.23975452976098e-17,0,0.271927987577904,0.0483921975073044,0.142271380361293,0.792
"105",1.05,0.3,0.215250136371034,0.208753106852379,1.79296937888381e-17,0,0.275996756776586,0.0482537475577035,0.141337056795132,0.79
"106",1.06,0.3,0.213269893288993,0.206741349965903,-2.16094757398284e-17,0,0.279988756745104,0.0481179098713027,0.140423095100526,0.788
"107",1.07,0.3,0.211326664096334,0.204767196011884,0,0,0.283906139891783,0.0479846112070776,0.13952890019609,0.786
"108",1.08,0.3,0.209419420629465,0.202829600464421,1.16941396359838e-17,0,0.287750978906114,0.0478537810366344,0.138653899173063,0.784
"109",1.09,0.3,0.207547172455566,0.200927557128839,-2.05437632228941e-18,0,0.291525270415595,0.0477253514197773,0.137797540280743,0.782
"110",1.1,0.3,0.205708965157558,0.199060096399357,0,0,0.295230938443085,0.0475992568868632,0.136959291967158,0.78
"111",1.11,0.3,0.203903878711764,0.197226283610948,0,0,0.298869837677288,0.047475434327515,0.136138641971458,0.778
"112",1.12,0.3,0.203846559390404,0.196153440609596,1.04062298694045e-17,0,0.3,0.0474360477445033,0.13587814646788,0.776
"113",1.13,0.3,0.20456959392119,0.19543040607881,0,0,0.3,0.0474347117051096,0.135869405899503,0.774
"114",1.14,0.3,0.205279943635646,0.194720056364354,0,0,0.3,0.0474333991050034,0.135860893795337,0.772
"115",1.15,0.3,0.205977939442024,0.194022060557976,0,-3.46944695195361e-18,0.3,0.0474321093327251,0.135852602266445,0.77
"116",1.16,0.3,0.206663900837948,0.193336099162053,6.25057194195329e-18,0,0.3,0.0474308417979,0.135844523761297,0.768
"117",1.17,0.3,0.207338136398043,0.192661863601957,0,0,0.3,0.0474295959303368,0.135836651048607,0.766
"118",1.18,0.3,0.208000944236782,0.191999055763219,0,0,0.3,0.047428371179173,0.135828977201183,0.764
"119",1.19,0.3,0.208652612447978,0.191347387552022,1.61404805770107e-18,0,0.3,0.0474271670120623,0.135821495580715,0.762
"120",1.2,0.3,0.209293419522321,0.190706580477679,1.11882624552949e-18,0,0.3,0.0474259829144035,0.135814199823449,0.76
"121",1.21,0.3,0.209923634744196,0.190076365255804,-6.27733573051444e-19,0,0.3,0.0474248183886068,0.135807083826677,0.758
"122",1.22,0.3,0.210543518568991,0.18945648143101,2.81387118557213e-19,0,0.3,0.047423672953397,0.135800141735998,0.756
"123",1.23,0.3,0.209264164089339,0.187902029886993,0,0.00283380602366756,0.3,0.0473201148874562,0.1351769235905,0.754
"124",1.24,0.3,0.207238506683564,0.185989153826379,0,0.00677233949005773,0.3,0.0471766433215775,0.134314758110151,0.752
"125",1.25,0.3,0.205245259796281,0.184106883782734,0,0.0106478564209856,0.3,0.0470354673007529,0.133467830580373,0.75
"126",1.26,0.3,0.203283651748479,0.182254491041368,0,0.0144618572101531,0.3,0.0468965321691477,0.132635770880568,0.748
"127",1.27,0.3,0.201352935165996,0.180431269839238,0,0.018215794994766,0.3,0.0467597849923709,0.131818220551487,0.746
"128",1.28,0.3,0.199452386030115,0.178636536468389,0,0.0219110775014956,0.3,0.0466251744902312,0.131014832340441,0.744
